parent_directory,is_file,name,size_in_bytes
../HW__7,False,.git,39962
../HW__7,False,task6_1,8163
../HW__7,False,Видео,0
../HW__7,False,Изображение,617
../HW__7,False,Текст,9889
../HW__7\.git,True,COMMIT_EDITMSG,2
../HW__7\.git,True,config,304
../HW__7\.git,True,description,73
../HW__7\.git,True,HEAD,21
../HW__7\.git,True,index,1266
../HW__7\.git,False,hooks,23513
../HW__7\.git,False,info,240
../HW__7\.git,False,logs,1006
../HW__7\.git,False,objects,13455
../HW__7\.git,False,refs,82
../HW__7\.git\hooks,True,applypatch-msg.sample,478
../HW__7\.git\hooks,True,commit-msg.sample,896
../HW__7\.git\hooks,True,fsmonitor-watchman.sample,4726
../HW__7\.git\hooks,True,post-update.sample,189
../HW__7\.git\hooks,True,pre-applypatch.sample,424
../HW__7\.git\hooks,True,pre-commit.sample,1643
../HW__7\.git\hooks,True,pre-merge-commit.sample,416
../HW__7\.git\hooks,True,pre-push.sample,1374
../HW__7\.git\hooks,True,pre-rebase.sample,4898
../HW__7\.git\hooks,True,pre-receive.sample,544
../HW__7\.git\hooks,True,prepare-commit-msg.sample,1492
../HW__7\.git\hooks,True,push-to-checkout.sample,2783
../HW__7\.git\hooks,True,update.sample,3650
../HW__7\.git\info,True,exclude,240
../HW__7\.git\logs,True,HEAD,522
../HW__7\.git\logs,False,refs,484
../HW__7\.git\logs\refs,False,heads,337
../HW__7\.git\logs\refs,False,remotes,147
../HW__7\.git\logs\refs\heads,True,main,337
../HW__7\.git\logs\refs\remotes,False,origin,147
../HW__7\.git\logs\refs\remotes\origin,True,main,147
../HW__7\.git\objects,False,13,520
../HW__7\.git\objects,False,15,604
../HW__7\.git\objects,False,22,654
../HW__7\.git\objects,False,3d,100
../HW__7\.git\objects,False,49,2381
../HW__7\.git\objects,False,75,319
../HW__7\.git\objects,False,84,3283
../HW__7\.git\objects,False,94,85
../HW__7\.git\objects,False,9f,575
../HW__7\.git\objects,False,b5,122
../HW__7\.git\objects,False,b8,183
../HW__7\.git\objects,False,bc,850
../HW__7\.git\objects,False,c9,723
../HW__7\.git\objects,False,d0,2491
../HW__7\.git\objects,False,d5,260
../HW__7\.git\objects,False,f6,305
../HW__7\.git\objects,False,info,0
../HW__7\.git\objects,False,pack,0
../HW__7\.git\objects\13,True,9768af0292a66e326e4faffc97444cc356a96b,520
../HW__7\.git\objects\15,True,a9491bb48c1a25d4820967e1874a11cedea21e,604
../HW__7\.git\objects\22,True,0b6885d450629f9e39477af75f6e4613fab75f,654
../HW__7\.git\objects\3d,True,46b88bfcd5490a3ca669221de868a2985a4007,100
../HW__7\.git\objects\49,True,02638e243568da7fc9a22233c76191527aae6e,2381
../HW__7\.git\objects\75,True,95b1b4623ec37ca93ca110656e5fd67a113eff,319
../HW__7\.git\objects\84,True,71d42b7126c58c373b45c3ca2da87a26ac9ad5,3283
../HW__7\.git\objects\94,True,e429cd32288e35884ffcbd8e8599d0d6f4d628,85
../HW__7\.git\objects\9f,True,062d0171f972d267ceb5302cb440320af6d402,575
../HW__7\.git\objects\b5,True,3c7e9876a73f73d7e163ae4740b574c56526db,122
../HW__7\.git\objects\b8,True,36f1ad8acf93087748517f4a4b4a6657c9c088,183
../HW__7\.git\objects\bc,True,2ecbaec8f569764320e18ce019fd15552d14b8,850
../HW__7\.git\objects\c9,True,389830183adb0dc3be1c1efeb448e4c35664a2,723
../HW__7\.git\objects\d0,True,22bfd22b47bcec80850a21f668e5e618e5a180,812
../HW__7\.git\objects\d0,True,3626a2cbd0a28eef231393741f710bbb7df2f2,1679
../HW__7\.git\objects\d5,True,605abcc5ca39778221964962b9d492a549c34f,260
../HW__7\.git\objects\f6,True,b0e218bcc4946f3dba5a3b3748c0c822a41b71,305
../HW__7\.git\refs,False,heads,41
../HW__7\.git\refs,False,remotes,41
../HW__7\.git\refs,False,tags,0
../HW__7\.git\refs\heads,True,main,41
../HW__7\.git\refs\remotes,False,origin,41
../HW__7\.git\refs\remotes\origin,True,main,41
../HW__7\task6_1,True,buqznmwxjggpxlvszlurc.doc,299
../HW__7\task6_1,True,jzhcsvrszmastmbmxtbroac.doc,2360
../HW__7\task6_1,True,lafvmbzsaavxocybaulzhxoqdtjc.txt,1658
../HW__7\task6_1,True,njihnhfohipzkdkz.txt,584
../HW__7\task6_1,True,ppbxggjzitoikxlhhhwq.doc,3262
../HW__7\Изображение,True,DZ2.py,617
../HW__7\Текст,True,DZ1.py,1034
../HW__7\Текст,True,numbers.txt,129
../HW__7\Текст,True,task1.py,918
../HW__7\Текст,True,task2.py,925
../HW__7\Текст,True,task2_1.txt,76
../HW__7\Текст,True,task3.py,1939
../HW__7\Текст,True,task3_1.txt,245
../HW__7\Текст,True,task4.py,1480
../HW__7\Текст,True,task5.py,1497
../HW__7\Текст,True,task6.py,1646
